home_team,away_team,point_diff
DEN,CAR,1
ATL,TB,-7
BAL,BUF,6
HOU,CHI,9
JAC,GB,-4
KC,SD,6
NO,OAK,-1
NYJ,CIN,-1
PHI,CLE,19
TEN,MIN,-9
SEA,MIA,2
DAL,NYG,-1
IND,DET,-4
ARI,NE,-2
WAS,PIT,-22
SF,LA,28
BUF,NYJ,-6
CAR,SF,19
CLE,BAL,-5
DET,TEN,-1
HOU,KC,7
NE,MIA,7
NYG,NO,3
PIT,CIN,8
WAS,DAL,-4
ARI,TB,33
LA,SEA,6
DEN,IND,14
OAK,ATL,-7
SD,JAC,24
MIN,GB,3
CHI,PHI,-15
NE,HOU,27
BUF,ARI,15
CAR,MIN,-12
CIN,DEN,-12
GB,DET,7
JAC,BAL,-2
MIA,CLE,6
NYG,WAS,-2
TEN,OAK,-7
SEA,SF,19
TB,LA,-5
PHI,PIT,31
IND,SD,4
KC,NYJ,21
DAL,CHI,14
NO,ATL,-13
CIN,MIA,15
JAC,IND,3
ATL,CAR,15
BAL,OAK,-1
CHI,DET,3
HOU,TEN,7
NE,BUF,-16
NYJ,SEA,-10
WAS,CLE,11
TB,DEN,-20
ARI,LA,-4
SD,NO,-1
SF,DAL,-7
PIT,KC,29
MIN,NYG,14
SF,ARI,-12
BAL,WAS,-6
CLE,NE,-20
DET,PHI,1
IND,CHI,6
MIA,TEN,-13
MIN,HOU,18
PIT,NYJ,18
DEN,ATL,-7
DAL,CIN,14
LA,BUF,-11
OAK,SD,3
GB,NYG,7
CAR,TB,-3
