Overall,Round,Pick,Manager,Team
0,*,*,austin,Oakland Athletics
0,*,*,zack,San Diego Padres
0,*,*,max,Kansas City Royals
0,*,*,matt,Washington Nationals
0,*,*,chris,Baltimore Orioles
0,*,*,patrick,Pittsburgh Pirates
1,1,1,patrick,Los Angeles Dodgers
2,1,2,chris,Chicago Cubs
3,1,3,matt,Houston Astros
4,1,4,max,Detroit Tigers
5,1,5,zack,San Francisco Giants
6,1,6,austin,New York Mets
7,2,1,austin,Toronto Blue Jays
8,2,2,zack,St Louis Cardinals
9,2,3,max,Chicago White Sox
10,2,4,matt,Los Angeles Angels
11,2,5,chris,Seattle Mariners
12,2,6,patrick,Miami Marlins
13,3,1,patrick,Cleveland Indians
14,3,2,chris,Texas Rangers
15,3,3,matt,Boston Red Sox
16,3,4,max,Atlanta Braves
17,3,5,zack,Philadelphia Phillies
18,3,6,austin,Colorado Rockies
19,4,1,austin,Arizona Diamondbacks
20,4,2,zack,Cincinnati Reds
21,4,3,max,Milwaukee Brewers
22,4,4,matt,New York Yankees
23,4,5,chris,Tampa Bay Rays
24,4,6,patrick,Minnesota Twins
