Team,City,Nickname,Manager,Round,Points,Games
ARI,Arizona,Diamondbacks,austin,5,5531,78
ATL,Atlanta,Braves,maxwell,4,4629,76
BAL,Baltimore,Orioles,christopher,1,3756,77
BOS,Boston,Red Sox,matthew,4,5433,75
CHC,Chicago,Cubs,christopher,2,4315,76
CHW,Chicago,White Sox,maxwell,3,5077,76
CIN,Cincinnati,Reds,zachary,5,3998,74
CLE,Cleveland,Indians,patrick,4,4631,75
COL,Colorado,Rockies,austin,4,4882,74
DET,Detroit,Tigers,maxwell,2,4295,77
HOU,Houston,Astros,matthew,2,4277,74
KC,Kansas City,Royals,maxwell,1,3591,77
LAA,Los Angeles,Angels,matthew,3,3469,76
LAD,Los Angeles,Dodgers,patrick,2,4391,74
MIA,Miami,Marlins,patrick,3,4287,76
MIL,Milwaukee,Brewers,maxwell,5,3540,74
MIN,Minnesota,Twins,patrick,5,4036,77
NYM,New York,Mets,austin,3,4002,75
NYY,New York,Yankees,matthew,5,3480,74
OAK,Oakland,Athletics,austin,1,3488,76
PHI,Philadelphia,Phillies,zachary,4,4220,76
PIT,Pittsburgh,Pirates,patrick,1,4761,75
SD,San Diego,Padres,zachary,1,4092,76
SEA,Seattle,Mariners,christopher,3,4639,76
SF,San Francisco,Giants,zachary,2,5641,75
STL,St Louis,Cardinals,zachary,3,5203,75
TB,Tampa Bay,Rays,christopher,5,3896,77
TEX,Texas,Rangers,christopher,4,4516,76
TOR,Toronto,Blue Jays,austin,2,4515,75
WAS,Washington,Nationals,matthew,1,5499,74
